Algorithme,Expérience,Type,Accuracy,Precision,Recall,F1-score
Logistic Regression,A,Baseline,0.8395135965791408,0.7603273115389176,0.641454060363515,0.6958503672081329
Logistic Regression,A,Optimisé,0.8359056591167234,0.6677594481890424,0.8491245622811405,0.7475996124144816
Logistic Regression,B1,Baseline,0.8238696561005641,0.735078277886497,0.6013006503251626,0.6614935886852678
Logistic Regression,B1,Optimisé,0.8236501255142266,0.6494947133245006,0.8337835584458896,0.730190718186863
KNN,A,Baseline,0.9333772394506008,0.9211672952290286,0.8390195097548775,0.8781764870148003
KNN,A,Optimisé,0.938836869684735,0.9452691218130312,0.8346173086543272,0.8865037194473964
KNN,B1,Baseline,0.8352566121658124,0.7248948428828956,0.6839419709854927,0.7038231862173108
KNN,B1,Optimisé,0.8414511926237723,0.7410772225827384,0.6855427713856929,0.7122290941219271
Decision Tree,A,Baseline,0.9988355334116008,0.9985309338586358,0.9973986993496748,0.997964495461826
Decision Tree,A,Optimisé,0.9992268705437676,0.999198717948718,0.9980990495247624,0.9986485810100606
Decision Tree,B1,Baseline,0.8275348624115912,0.6964909966361058,0.7043188260797065,0.7003830401114298
Decision Tree,B1,Optimisé,0.8359724727734349,0.6840349666436623,0.7933299983324996,0.7346396751131082
Random Forest,A,Baseline,0.9988355334116008,0.9988640539908455,0.9970651992662998,0.9979638160090794
Random Forest,A,Optimisé,0.9988355334116008,0.9988640539908455,0.9970651992662998,0.9979638160090794
Random Forest,B1,Baseline,0.8444100831352785,0.748944840634551,0.6864765716191429,0.7163514242461153
Random Forest,B1,Optimisé,0.8474262424953947,0.7595861455165764,0.6831082207770552,0.719320117293814
SVM,A,Baseline,0.9356966278192976,0.905809244518922,0.865299316324829,0.885090995923519
SVM,A,Optimisé,0.9439528868272103,0.9154691753678624,0.8859763214940803,0.9004813233001152
SVM,B1,Baseline,0.8455936393398811,0.761951737744726,0.6697348674337169,0.7128733959283647
SVM,B1,Optimisé,0.8455936393398811,0.761951737744726,0.6697348674337169,0.7128733959283647
